qs_name,scopus_id,scopus_name,scival_id,scival_name
Technische Universität Dresden,60018353,Technische Universität Dresden,Institution/309052,Technische Universität Dresden
University of Virginia,60021918,University of Virginia,Institution/508357,University of Virginia
Universitat Autònoma de Barcelona,60023020,Universitat Autònoma de Barcelona,Institution/312045,Autonomous University of Barcelona
University College Dublin,60005141,University College Dublin,Institution/319008,University College Dublin
University of Reading,60012197,University of Reading,Institution/315094,University of Reading
Vanderbilt University,60003915,Vanderbilt University,Institution/508363,Vanderbilt University
University of Göttingen,60031514,Universität Göttingen,Institution/309073,University of Göttingen
Keio University,60025997,Keio University,Institution/208064,Keio University
Vienna University of Technology,60018163,Technische Universitat Wien,Institution/301014,Vienna University of Technology
Stockholm University,60028378,Stockholms universitet,Institution/332014,Stockholm University
